ROI,Mean Activation,Max Activation,Std Activation,Range Activation,Active Vertices,Total Vertices
bankssts-lh,0.004648651726407382,0.15511594666739906,0.07715861092283088,0.0,1,3
bankssts-rh,0.0,0.0,0.0,0.0,0,1
caudalanteriorcingulate-lh,0.021568592928726676,0.31199897411428207,0.13376417317640302,0.6167407130443423,2,3
caudalmiddlefrontal-lh,-0.012798121195922631,0.26333667279596906,0.12399937828167357,0.0,1,4
caudalmiddlefrontal-rh,0.007293875769363124,0.19493010531677665,0.08255292185232592,0.3550343279376404,4,4
cuneus-lh,0.0,0.0,0.0,0.0,0,5
cuneus-rh,0.0,0.0,0.0,0.0,0,3
entorhinal-lh,0.03255565557188969,0.5781748315463812,0.1969829292678419,0.0,1,1
entorhinal-rh,0.04367897693097075,0.3232938108024676,0.17349576545234893,0.0,1,2
frontalpole-lh,0.04135079512486929,0.363929283604359,0.1306245129596626,0.576584067089848,2,2
frontalpole-rh,0.0239379064486223,0.2034702794739837,0.12994148010365153,0.0,1,1
fusiform-lh,-0.0017740275453254936,0.56022095324996,0.20702954598434856,1.0186939251653562,5,8
fusiform-rh,0.0,0.0,0.0,0.0,0,10
inferiorparietal-lh,0.010552266550823497,0.17761753732812055,0.08656339081595925,0.0,1,14
inferiorparietal-rh,0.0,0.0,0.0,0.0,0,15
inferiortemporal-lh,-0.00614174475652262,0.36780780351798475,0.15087274943845436,0.6579721806317405,4,5
inferiortemporal-rh,0.0172074963626158,0.1969790771932849,0.09967264625100078,0.0,1,4
insula-lh,0.010919143428200091,0.5028908179459111,0.11987813037204972,0.8115024995539317,10,12
insula-rh,0.00031789772981005097,0.268779530317063,0.14226860841191272,0.5406893926641945,2,3
isthmuscingulate-lh,0.004274782734453305,0.29554687899791154,0.1281830151753024,0.528598189151236,3,5
isthmuscingulate-rh,-0.027372244095763845,0.401670256602992,0.21153283557682523,0.9290461637540579,5,5
lateraloccipital-lh,0.0,0.0,0.0,0.0,0,10
lateraloccipital-rh,0.0,0.0,0.0,0.0,0,9
lateralorbitofrontal-lh,0.0263530591683117,0.34353904692410625,0.1671819809816241,0.6874018518201519,4,4
lateralorbitofrontal-rh,0.027949096731362626,0.4017065280608941,0.16760736649392677,0.7074388303796917,6,6
lingual-lh,0.0,0.0,0.0,0.0,0,3
lingual-rh,-0.01631122928273393,0.30939610121106953,0.21297911688901794,0.0,1,2
medialorbitofrontal-lh,0.04341396288638894,0.5349852781574275,0.17067062479890688,0.8986480839822926,4,4
medialorbitofrontal-rh,0.018158849185573707,0.5072485534939944,0.14533281111036134,0.8379275999878281,6,6
middletemporal-lh,-0.013214451223768015,0.23216803462225952,0.1327798370833354,0.5050047616243807,3,4
middletemporal-rh,-0.04102800761933116,0.26735187434884733,0.14948080281030776,0.7355546766928233,3,8
paracentral-lh,-0.001820854104626373,0.2538433925215326,0.15654399269819091,0.0,1,1
paracentral-rh,-0.026094246307843964,0.23006361431517436,0.09990374500533905,0.44664126713596075,2,9
parahippocampal-lh,0.03350877484753095,0.5342510893755954,0.17486491457836403,0.9621259270876413,3,5
parahippocampal-rh,-0.030039402560208924,0.39850541273425055,0.22573080754973224,0.8189582448234123,2,3
parsopercularis-lh,0.0017991834620408283,0.24407742765061308,0.10500457867882491,0.5093104266915927,5,5
parsopercularis-rh,0.0,0.0,0.0,0.0,0,4
parsorbitalis-lh,0.00033663489753108086,0.25599171511665364,0.16184284767026022,0.0,1,1
parsorbitalis-rh,0.037834541577980184,0.4252156712241526,0.1364867144572187,0.7472503948015117,2,2
parstriangularis-lh,0.003308489851513717,0.2594089375216748,0.11815593201815314,0.5026150354993384,4,4
parstriangularis-rh,0.029817661375221755,0.44499487161751217,0.14226455711480665,0.7820772523993714,4,5
pericalcarine-lh,0.0,0.0,0.0,0.0,0,1
postcentral-lh,0.003031018251811014,0.17311256022477975,0.06956843923513717,0.3377136024813392,10,17
postcentral-rh,0.0013751713348266036,0.20277189678916568,0.09004797468109467,0.42732639350497553,5,12
posteriorcingulate-lh,-0.0006946760840912259,0.31187838527610146,0.1380847229686543,0.597344370147078,8,8
posteriorcingulate-rh,-0.022597186476168003,0.3957959171309436,0.13433981474072176,0.8531382420313836,5,5
precentral-lh,-0.0033118102183070006,0.2565684469109493,0.10604786341451614,0.5693450503290538,7,15
precentral-rh,-0.016853268278307968,0.2020358511876121,0.10088715736659502,0.5579356210624735,5,16
precuneus-lh,0.0,0.0,0.0,0.0,0,8
precuneus-rh,-0.01602653128656012,0.4154724873014096,0.1835401590027766,0.8928423784932817,3,7
rostralanteriorcingulate-lh,0.0,0.0,0.0,0.0,0,1
rostralmiddlefrontal-lh,0.01820948587118017,0.30104410456473163,0.12819833511915213,0.6140164443888775,8,10
rostralmiddlefrontal-rh,0.0186340840026005,0.47409896599795726,0.11262616167051506,0.8290526293613923,7,12
superiorfrontal-lh,0.012419301481070111,0.3301497729180052,0.1364193475184381,0.6065042830250003,13,19
superiorfrontal-rh,-0.0035866301643395866,0.42991707506368865,0.11148239602550987,0.79842181769356,13,16
superiorparietal-lh,0.0,0.0,0.0,0.0,0,14
superiorparietal-rh,0.0,0.0,0.0,0.0,0,16
superiortemporal-lh,0.004046756795995824,0.08978202667498475,0.03865868883912687,0.0,1,10
superiortemporal-rh,-0.0350227826208472,0.27043267636312435,0.1278778540566393,0.664662521814037,7,12
supramarginal-lh,-0.0024192444012149056,0.13975081968354647,0.05635302097884936,0.2683234411172385,8,10
supramarginal-rh,-0.007217923809506814,0.2266344138916183,0.10603202840908262,0.49024626651032505,6,15
temporalpole-lh,0.013296755742857998,0.43346685654408307,0.18566533469238908,0.8281031240462294,2,2
temporalpole-rh,0.051120086735357534,0.35237377987640756,0.15954011088125425,0.0,1,1
transversetemporal-lh,0.0,0.0,0.0,0.0,0,1
transversetemporal-rh,0.0,0.0,0.0,0.0,0,2
